"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"DK","Denmark","2022","TOTAL","5920767","100","2949510","100","2971257","100","0.9926808754678575"
"DK","Denmark","2022","0 - 14","964828","16.295658991478636","495417","16.796586551664515","469411","15.798397782487344","1.055401343385647"
"DK","Denmark","2022","15 - 64","3748404","63.30943271370077","1896909","64.31268244555875","1851495","62.3135258915671","1.024528286600828"
"DK","Denmark","2022","65+","1207535","20.39490829482059","557184","18.890731002776732","650351","21.88807632594555","0.8567435123494851"
"ID","Indonesia","2022","TOTAL","277329163","100","138739358","100","138589805","100","1.0010791053497767"
"ID","Indonesia","2022","0 - 14","68399249","24.663561617571393","34986051","25.217106021205606","33413198","24.109419881209877","1.0470728063802812"
"ID","Indonesia","2022","15 - 64","188365419","67.92124454650303","94235918","67.9229883707549","94129501","67.91949884048108","1.0011305382358289"
"ID","Indonesia","2022","65+","20564495","7.415193835925578","9517389","6.859905608039502","11047106","7.971081278309036","0.8615278064680469"
"NG","Nigeria","2022","TOTAL","225082083","100","113632396","100","111449687","100","1.019584702826487"
"NG","Nigeria","2022","0 - 14","92284160","41.00022479354787","47138024","41.48290950408192","45146136","40.508086846399124","1.0441208966366469"
"NG","Nigeria","2022","15 - 64","125279242","55.659357835248045","62964298","55.41051690927999","62314944","55.91307223680224","1.0104205180702721"
"NG","Nigeria","2022","65+","7518681","3.3404173712040865","3530074","3.1065735866380924","3988607","3.5788409167986273","0.88503931322389"
"US","United States","2022","TOTAL","333287557","100","165283553","100","168004004","100","0.9838072252135134"
"US","United States","2022","0 - 14","59437387","17.833665179405422","30408894","18.39801568157238","29028493","17.278453077820693","1.0475533125333099"
"US","United States","2022","15 - 64","216055318","64.82549782079023","108945315","65.91418990127832","107110003","63.754434685973315","1.017134832868971"
"US","United States","2022","65+","57794852","17.340836999804345","25929344","15.687794417149298","31865508","18.967112236205992","0.8137119295258057"
