"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"DK","Denmark","2022","TOTAL","5920767","100","2949510","100","2971257","100","0.9926808754678575"
"DK","Denmark","2022","0","66087","1.1161898449981227","34065","1.1549375998047133","32022","1.0777256898343024","1.0637998875772907"
"DK","Denmark","2022","1","65708","1.1097886473154577","33851","1.1476821573752929","31857","1.0721724845747103","1.0625922089336723"
"DK","Denmark","2022","2","65231","1.1017322586752696","33588","1.1387654220531547","31643","1.0649701456319665","1.061466991119679"
"DK","Denmark","2022","3","64752","1.0936420906277853","33323","1.129780878857844","31429","1.0577678066892229","1.0602628145979827"
"DK","Denmark","2022","4","64301","1.0860248342824503","33077","1.1214405104576692","31224","1.0508683698515475","1.059345375352293"
"DK","Denmark","2022","5","63913","1.0794716292669515","32864","1.1142189719648348","31049","1.0449786066974347","1.0584559889207381"
"DK","Denmark","2022","6","62307","1.0523467652079537","31950","1.0832307739251603","30357","1.0216888003965998","1.0524755410613698"
"DK","Denmark","2022","7","60576","1.0231106881929317","31022","1.051767920773281","29554","0.9946632014665847","1.0496717872369223"
"DK","Denmark","2022","8","59819","1.0103251825312498","30613","1.0379012107095753","29206","0.982950986737263","1.0481750325275627"
"DK","Denmark","2022","9","60610","1.0236849381169704","31043","1.0524799034415886","29567","0.9951007267294617","1.0499205194980892"
"DK","Denmark","2022","10","62324","1.0526338901699728","31866","1.08038284325193","30458","1.0250880351312592","1.0462275920940312"
"DK","Denmark","2022","11","65127","1.0999757294958576","33260","1.1276449308529213","31867","1.072509042469231","1.0437129318730975"
"DK","Denmark","2022","12","67143","1.1340253720506144","34458","1.1682618468830417","32685","1.1000394782410272","1.0542450665442864"
"DK","Denmark","2022","13","68127","1.1506448404404361","35065","1.1888415363907903","33062","1.112727710864459","1.0605831468150748"
"DK","Denmark","2022","14","68803","1.1620622801066147","35372","1.1992500449227161","33431","1.1251466971722741","1.0580598845383027"
"DK","Denmark","2022","15","68902","1.1637343607677857","35338","1.1980973110787894","33564","1.1296229171694","1.0528542485996901"
"DK","Denmark","2022","16","69106","1.1671798603120171","35375","1.199351756732474","33731","1.1352434340078963","1.0487385491091281"
"DK","Denmark","2022","17","68941","1.164393059210065","35206","1.1936219914494273","33735","1.1353780571657046","1.0436045649918482"
"DK","Denmark","2022","18","69253","1.1696626467483013","35474","1.2027082464544958","33779","1.136858911901596","1.0501791053613192"
"DK","Denmark","2022","19","69313","1.170676028967193","35531","1.2046407708399023","33782","1.136959879269952","1.0517731336214553"
"DK","Denmark","2022","20","70496","1.1906565483830052","36091","1.2236269753281053","34405","1.157927436098594","1.049004505159134"
"DK","Denmark","2022","21","72945","1.2320194326174296","37263","1.2633623890069876","35682","1.200905879228892","1.044308054481251"
"DK","Denmark","2022","22","74316","1.255175216319102","37951","1.2866882973782086","36365","1.2238927834246582","1.0436133644988312"
"DK","Denmark","2022","23","74788","1.2631471564410488","38211","1.2955033208905886","36577","1.231027810788498","1.0446728818656532"
"DK","Denmark","2022","24","76570","1.2932446083421285","39160","1.3276781567107756","37410","1.2590630834020753","1.0467789361133386"
"DK","Denmark","2022","25","78112","1.3192885313676421","39948","1.3543944587406045","38164","1.2844395486489388","1.046745624148412"
"DK","Denmark","2022","26","80288","1.3560405265061097","41063","1.3921973480340804","39225","1.320148341257589","1.0468578712555767"
"DK","Denmark","2022","27","82893","1.4000382045096522","42271","1.4331533034300614","40622","1.367165479122136","1.0405937669243268"
"DK","Denmark","2022","28","82200","1.3883336398814545","41943","1.422032812229828","40257","1.354881115972129","1.0418809151203516"
"DK","Denmark","2022","29","81794","1.3814764202002883","41849","1.4188458421907368","39945","1.3443805096630819","1.0476655401176618"
"DK","Denmark","2022","30","80690","1.3628301873726834","41233","1.3979610172537134","39457","1.32795648441047","1.0450110246597561"
"DK","Denmark","2022","31","78891","1.3324456105095843","40265","1.3651420066383908","38626","1.2999885233757968","1.0424325583803655"
"DK","Denmark","2022","32","77572","1.310168091397618","39631","1.343646910842818","37941","1.2769343076011264","1.044542842834928"
"DK","Denmark","2022","33","75452","1.274361919663449","38557","1.3072340829493714","36895","1.2417303518342573","1.045046754302751"
"DK","Denmark","2022","34","73402","1.2397380271846536","37676","1.2773647148170375","35726","1.2023867339647833","1.0545820970721604"
"DK","Denmark","2022","35","72051","1.216920037555945","36917","1.2516316269482048","35134","1.1824625066091556","1.0507485626458701"
"DK","Denmark","2022","36","70614","1.192649533413492","35993","1.2203043895426697","34621","1.165197086620242","1.0396291268305364"
"DK","Denmark","2022","37","68691","1.1601706332980168","34923","1.1840271773955673","33768","1.136488698217623","1.0342039800995024"
"DK","Denmark","2022","38","66984","1.1313399091705516","33954","1.1511742628436588","33030","1.1116507256019927","1.0279745685740236"
"DK","Denmark","2022","39","66758","1.12752283614606","33876","1.1485297557899448","32882","1.1066696687630857","1.0302293047868134"
"DK","Denmark","2022","40","66914","1.1301576299151783","33855","1.1478177731216372","33059","1.1126267434961028","1.0240781632838258"
"DK","Denmark","2022","41","68215","1.152131134361477","34406","1.1664988421805655","33809","1.137868585585158","1.0176580200538319"
"DK","Denmark","2022","42","69978","1.1819076818932412","35324","1.1976226559665843","34654","1.1663077276721603","1.01933398741848"
"DK","Denmark","2022","43","71416","1.2061950757393425","36009","1.220846852528047","35407","1.1916505371295718","1.0170022876832265"
"DK","Denmark","2022","44","71744","1.21173489853595","36094","1.2237286871378636","35650","1.1998288939664257","1.012454417952314"
"DK","Denmark","2022","45","72553","1.2253986687873377","36605","1.2410535987333489","35948","1.2098583192231436","1.0182763992433514"
"DK","Denmark","2022","46","76807","1.2972474681067503","38557","1.3072340829493714","38250","1.2873339465418172","1.0080261437908498"
"DK","Denmark","2022","47","79107","1.336093786497594","39564","1.3413753470915508","39543","1.3308508823033482","1.0005310674455656"
"DK","Denmark","2022","48","78224","1.3211801781762396","39162","1.327745964583948","39062","1.314662447576901","1.0025600327684194"
"DK","Denmark","2022","49","79763","1.3471734320908086","39798","1.3493088682526928","39965","1.3450536254521235","0.9958213436757163"
"DK","Denmark","2022","50","80338","1.3568850116885194","40353","1.3681255530579657","39985","1.345726741241165","1.0092034512942354"
"DK","Denmark","2022","51","78050","1.3182413697414541","39183","1.3284579472522555","38867","1.3080995686337467","1.0081302904777831"
"DK","Denmark","2022","52","75993","1.2834992493371213","38025","1.2891971886855784","37968","1.2778430139163324","1.0015012642225032"
"DK","Denmark","2022","53","77120","1.3025339453486349","38783","1.3148963726178247","38337","1.2902620002241476","1.0116336698228865"
"DK","Denmark","2022","54","80709","1.363151091741999","40581","1.3758556505995911","40128","1.3505395191328116","1.0112888755980862"
"DK","Denmark","2022","55","85915","1.451078888934491","43093","1.4610223393038164","42822","1.441208215916698","1.0063285227219654"
"DK","Denmark","2022","56","86872","1.4672423353258115","43619","1.478855809948093","43253","1.4557138611705416","1.0084618407971702"
"DK","Denmark","2022","57","83914","1.4172825919344572","42249","1.4324074168251675","41665","1.4022684675206487","1.0140165606624265"
"DK","Denmark","2022","58","81484","1.3762406120693484","40940","1.3880271638339927","40544","1.364540327544874","1.0097671665351224"
"DK","Denmark","2022","59","78191","1.3206228179558495","39106","1.3258473441351275","39085","1.3154365307342988","1.0005372905206602"
"DK","Denmark","2022","60","74388","1.2563912749817718","37077","1.2570562568019772","37311","1.2557311602463201","0.9937283910910991"
"DK","Denmark","2022","61","72574","1.22575335256395","36150","1.225627307586684","36424","1.2258784750023308","0.9924774873709642"
"DK","Denmark","2022","62","70485","1.1904707616428751","35070","1.1890110560737208","35415","1.1919197834451885","0.9902583650995341"
"DK","Denmark","2022","63","68684","1.1600524053724797","33999","1.1526999399900322","34685","1.1673510571451744","0.9802219979818365"
"DK","Denmark","2022","64","67944","1.1475540246728169","33608","1.1394435007848762","34336","1.155605186626401","0.9787977632805219"
"DK","Denmark","2022","65","67303","1.1367277246343253","33194","1.1254072710382403","34109","1.1479653224207802","0.9731742355390073"
"DK","Denmark","2022","66","66227","1.1185544035088697","32507","1.1021152666036054","33720","1.1348732203239236","0.9640272835112693"
"DK","Denmark","2022","67","64448","1.0885076207187345","31438","1.0658719583930891","33010","1.1109776098129511","0.9523780672523477"
"DK","Denmark","2022","68","63540","1.0731717698061753","30894","1.047428216890263","32646","1.0987269024523965","0.9463333945965815"
"DK","Denmark","2022","69","62513","1.0558260441594813","30324","1.0281029730361992","32189","1.0833462066727988","0.942060952499301"
"DK","Denmark","2022","70","60712","1.025407687889086","29357","0.9953178663574628","31355","1.0552772782697692","0.9362781055653006"
"DK","Denmark","2022","71","60187","1.0165405934737848","28952","0.9815867720401016","31235","1.0512385835355205","0.9269089162798143"
"DK","Denmark","2022","72","59746","1.0090922341649318","28518","0.966872463561744","31228","1.051002993009356","0.9132189061099014"
"DK","Denmark","2022","73","60179","1.0164054758445993","28703","0.9731446918301684","31476","1.0593496287934703","0.91190113102046"
"DK","Denmark","2022","74","62271","1.0517387358766186","29684","1.0064044536211099","32587","1.096741210874724","0.9109153957099457"
"DK","Denmark","2022","75","63758","1.0768537252014816","30332","1.028374204528888","33426","1.124978418225014","0.9074373242386167"
"DK","Denmark","2022","76","61382","1.0367237893333752","29191","0.989689812884174","32191","1.0834135182517028","0.9068062501941536"
"DK","Denmark","2022","77","57067","0.9638447180914229","26807","0.9088628280629664","30260","1.0184241888197487","0.8858889623265036"
"DK","Denmark","2022","78","51510","0.869988634918415","23928","0.8112533946316506","27582","0.9282939846670955","0.8675222971503154"
"DK","Denmark","2022","79","46142","0.7793247057349157","21254","0.7205942682004808","24888","0.8376252878832089","0.8539858566377371"
"DK","Denmark","2022","80","40517","0.6843201227138308","18467","0.6261039969350841","22050","0.7421101574182241","0.8375056689342404"
"DK","Denmark","2022","81","35703","0.6030130893514303","15989","0.5420900420747854","19714","0.6634902332581799","0.8110479862026986"
"DK","Denmark","2022","82","32288","0.5453347513928516","14230","0.48245301761987586","18058","0.607756245925546","0.7880163916269798"
"DK","Denmark","2022","83","29312","0.4950709933358296","12777","0.433190597760306","16535","0.5564984785900378","0.7727245237375264"
"DK","Denmark","2022","84","26442","0.44659754386551603","11279","0.3824025007543626","15163","0.5103227354617929","0.7438501615775243"
"DK","Denmark","2022","85","23266","0.39295584507885545","9647","0.3270712762458849","13619","0.4583581965477911","0.7083486305896175"
"DK","Denmark","2022","86","19978","0.3374224994835973","8034","0.2723842265325427","11944","0.40198474921556765","0.6726389819156061"
"DK","Denmark","2022","87","16992","0.2869898443900934","6668","0.2260714491559615","10324","0.34746237030320837","0.6458736923672995"
"DK","Denmark","2022","88","14479","0.24454601912218468","5523","0.18725144176490333","8956","0.3014212503327716","0.616681554265297"
"DK","Denmark","2022","89","12376","0.20902697235003503","4473","0.15165230834952248","7903","0.2659817040397381","0.5659875996457041"
"DK","Denmark","2022","90","10258","0.17325458002316255","3591","0.12174903628060253","6667","0.22438314827697503","0.5386230688465576"
"DK","Denmark","2022","91","8469","0.14303890019654547","2850","0.09662621927031947","5619","0.18911188093120185","0.5072076882007475"
"DK","Denmark","2022","92","7128","0.12038980760431883","2295","0.07780953446504674","4833","0.16265843042187195","0.4748603351955307"
"DK","Denmark","2022","93","5757","0.0972340239026464","1763","0.059772640201253766","3994","0.13442122307158216","0.4414121181772659"
"DK","Denmark","2022","94","4638","0.07833444552031857","1351","0.04580421832779004","3287","0.11062657992896609","0.4110130818375418"
"DK","Denmark","2022","95","3606","0.06090427135538351","1010","0.03424297595193778","2596","0.0873704294175832","0.38906009244992296"
"DK","Denmark","2022","96","2759","0.04659869236536415","718","0.02434302646880329","2041","0.06869146627168232","0.35178833904948553"
"DK","Denmark","2022","97","2070","0.034961686551759255","502","0.01701977616621066","1568","0.05277227786085148","0.3201530612244898"
"DK","Denmark","2022","98","1530","0.025841246581735103","353","0.011968089614885184","1177","0.03961286418509069","0.29991503823279525"
"DK","Denmark","2022","99","1054","0.017801747645195293","220","0.007458866048936943","834","0.02806892840302943","0.2637889688249401"
"DK","Denmark","2022","100+","1928","0.03256334863371587","361","0.012239321107573801","1567","0.052738622071399406","0.23037651563497127"
"ID","Indonesia","2022","TOTAL","277329163","100","138739358","100","138589805","100","1.0010791053497767"
"ID","Indonesia","2022","0","4191538","1.5113946022330151","2142240","1.544075185932459","2049298","1.4786787527408671","1.0453530916440654"
"ID","Indonesia","2022","1","4214989","1.5198506188114085","2153442","1.5521493187246838","2061547","1.4875170651982663","1.044575748212386"
"ID","Indonesia","2022","2","4255830","1.534577162373652","2174098","1.5670376678548563","2081732","1.5020816285873266","1.0443697843910744"
"ID","Indonesia","2022","3","4309971","1.554099451127684","2201510","1.5867955796652886","2108461","1.5213680400228575","1.0441312407485839"
"ID","Indonesia","2022","4","4364901","1.5739062393521162","2229346","1.6068591005012436","2135555","1.540917818594232","1.0439187939434948"
"ID","Indonesia","2022","5","4435531","1.5993741703969302","2265765","1.6331090417760188","2169766","1.5656028955376624","1.044243941512587"
"ID","Indonesia","2022","6","4521270","1.630290140096085","2310440","1.6653097097364395","2210830","1.5952327806507844","1.04505547690234"
"ID","Indonesia","2022","7","4604048","1.6601384254709628","2353603","1.6964205643794317","2250445","1.6238171343122967","1.0458389340774825"
"ID","Indonesia","2022","8","4685762","1.6896030512304976","2396353","1.7272337385329402","2289409","1.651931756452071","1.0467124921759283"
"ID","Indonesia","2022","9","4764929","1.7181492737566875","2437953","1.7572180202823195","2326976","1.6790383679376704","1.0476915103550704"
"ID","Indonesia","2022","10","4811277","1.7348615442942077","2462928","1.7752194009720013","2348349","1.6944601372373673","1.048791299759959"
"ID","Indonesia","2022","11","4822171","1.7387897283633311","2469931","1.7802669953251478","2352240","1.697267703060842","1.0500335850083324"
"ID","Indonesia","2022","12","4822913","1.7390572804635047","2471517","1.781410146066843","2351396","1.6966587116563157","1.0510849725014417"
"ID","Indonesia","2022","13","4810333","1.734521154560294","2465396","1.7769982761488632","2344937","1.6919981956825758","1.0513698235816142"
"ID","Indonesia","2022","14","4783786","1.724948775041015","2451529","1.7670032753070688","2332257","1.682848893538742","1.051140161654569"
"ID","Indonesia","2022","15","4745828","1.7112617903801193","2431350","1.7524587363306092","2314478","1.6700203885848603","1.0504960513774597"
"ID","Indonesia","2022","16","4697938","1.6939935018662284","2405633","1.7339225398462634","2292305","1.6540213762476972","1.0494384473270355"
"ID","Indonesia","2022","17","4645972","1.675255479713109","2378590","1.7144305943811562","2267382","1.6360380909692454","1.0490468743246617"
"ID","Indonesia","2022","18","4602967","1.6597486359557507","2355884","1.6980646544436224","2247083","1.6213912704473463","1.048418772248288"
"ID","Indonesia","2022","19","4558584","1.6437449097266414","2333495","1.6819272004992267","2225089","1.6055214162398166","1.0487198489588507"
"ID","Indonesia","2022","20","4526083","1.63202562292376","2315922","1.6692610037881246","2210161","1.5947500611607035","1.0478521700455306"
"ID","Indonesia","2022","21","4492863","1.620047077414646","2298278","1.656543631980768","2194585","1.5835111392212435","1.0472494799700172"
"ID","Indonesia","2022","22","4461480","1.6087309216737515","2281637","1.6445491985050125","2179843","1.5728739931483418","1.0466978585154987"
"ID","Indonesia","2022","23","4335969","1.5634738709394223","2217839","1.5985651310279236","2118130","1.528344743684429","1.0470740700523575"
"ID","Indonesia","2022","24","4326266","1.559975140443488","2210896","1.5935607832349923","2115370","1.5263532552051717","1.0451580574556696"
"ID","Indonesia","2022","25","4320281","1.5578170551071833","2205563","1.5897168848078422","2114718","1.5258828021296371","1.0429584464689854"
"ID","Indonesia","2022","26","4286253","1.5455471590631094","2185088","1.5749589961343198","2101165","1.5161035835211687","1.0399411754907397"
"ID","Indonesia","2022","27","4223188","1.522807033460091","2149020","1.548962047236805","2074168","1.4966237956680868","1.0360877228845493"
"ID","Indonesia","2022","28","4149563","1.4962591582912612","2107206","1.5188235194226571","2042357","1.4736704478370541","1.031752039432871"
"ID","Indonesia","2022","29","4110470","1.48216291266851","2081814","1.5005215751394785","2028656","1.4637844392666546","1.0262035554574063"
"ID","Indonesia","2022","30","4103149","1.479523089318955","2071290","1.4929361284776883","2031859","1.4660955760779086","1.019406366288212"
"ID","Indonesia","2022","31","4092311","1.475615097861165","2057061","1.4826802067225942","2035250","1.4685423650029668","1.0107166195799042"
"ID","Indonesia","2022","32","4095885","1.4769038191630788","2049441","1.477187893575232","2046444","1.4766194382047078","1.001464491576608"
"ID","Indonesia","2022","33","4111752","1.482625179235117","2047561","1.4758328346884813","2064191","1.4894248534370909","0.9919435749889424"
"ID","Indonesia","2022","34","4119989","1.4855952960129188","2041339","1.4713481663941388","2078650","1.4998577997854894","0.9820503692300291"
"ID","Indonesia","2022","35","4115335","1.483917145778138","2028469","1.4620717792279245","2086866","1.5057860857802636","0.9720168903992877"
